"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Education","Department for Education","Counter Extremism and Non-School Education","DFE-2398","Grade 6 - National","70854","78241","Manager - Counter Extremism and Non-School Education Grade 6-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Regions Group: London","DFE-2204","Grade 7 - London","62336","72057","Manager - Regions Group: London Grade 7-London","14.01","Other","London"
"Department for Education","Department for Education","Regions Group: North West","DFE-2514","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Regions Group: North West SEO-North West","10.13","Other","North West"
"Department for Education","Department for Education","Education Estates Private Finance","DFE-2211","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Education Estates Private Finance SEO-Unknown","2.00","Other","Unknown"
"Department for Education","Department for Education","CSC Strategy and System","DFE-2401","Grade 6 - National","70854","78241","Manager - CSC Strategy and System Grade 6-North East","0.60","Other","North East"
"Department for Education","Department for Education","Regions Group: North East","DFE-2409","Grade 7 - National","58185","67219","Manager - Regions Group: North East Grade 7-North East","5.75","Other","North East"
"Department for Education","Department for Education","CSC Looked After Children Placements","DFE-2582","Senior Executive Officer - National","42806","47047","Senior Executive Officer - CSC Looked After Children Placements SEO-North West","2.00","Other","North West"
"Department for Education","Department for Education","Specialist Sector Reform","DFE-2353","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Specialist Sector Reform SEO-West Midlands","0.54","Other","West Midlands"
"Department for Education","Department for Education","Ministerial and Public Communications Division","DFE-2249","EO - National","31479","31479","Executive Officer - Ministerial and Public Communications Division EO-North West","6.53","Other","North West"
"Department for Education","Department for Education","CSC Serious Incidents and National Safeguarding Panel","DFE-2299","Grade 6 - London","74528","82869","Manager - CSC Serious Incidents and National Safeguarding Panel Grade 6-London","1.20","Other","London"
"Department for Education","Department for Education","CSC Child Protection and Safeguarding","DFE-2337","Senior Executive Officer - National","42806","47047","Senior Executive Officer - CSC Child Protection and Safeguarding SEO-North West","2.00","Other","North West"
"Department for Education","Department for Education","FE Provider Infrastructure","DFE-2387","Grade 7 - London","62336","72057","Manager - FE Provider Infrastructure Grade 7-London","2.60","Other","London"
"Department for Education","Department for Education","Life Skills","DFE-2456","Grade 6 - London","74528","82869","Manager - Life Skills Grade 6-London","2.00","Other","London"
"Department for Education","Department for Education","FE Workforce","DFE-2668","Grade 7 - National","58185","67219","Manager - FE Workforce Grade 7-West Midlands","1.91","Other","West Midlands"
"Department for Education","Standard and Testing Agency","Standards, Testing and Regulation Directorate","DFE-2135","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Assessment Operations and Services SEO-West Midlands","4.56","Other","West Midlands"
"Department for Education","Department for Education","Schools Digital","DFE-2504","Grade 6 - London","74528","82869","Manager - Schools Digital Grade 6-London","5.00","Other","London"
"Department for Education","Standard and Testing Agency","Assessment Research and Development","DFE-2535","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Assessment Research and Development SEO-London","8.99","Other","London"
"Department for Education","Department for Education","Rapid Response Co-ordination","DFE-2382","Grade 7 - National","58185","67219","Manager - Rapid Response Co-ordination Grade 7-West Midlands","4.00","Other","West Midlands"
"Department for Education","Department for Education","Schools and Funding Analysis","DFE-2567","SEO (Statistical Officer) - London","52799","58810","Senior Executive Officer - Schools and Funding Analysis SEO-London","10.80","Other","London"
"Department for Education","Standard and Testing Agency","Standards, Testing and Regulation Directorate","DFE-2135","Grade 7 - National","58185","67219","Manager - Assessment Operations and Services Grade 7-West Midlands","5.74","Other","West Midlands"
"Department for Education","Department for Education","HR Business Partners, Workforce Skills and Strategy","DFE-2681","Grade 7 - London","62336","72057","Manager - HR Business Partners, Workforce Skills and Strategy Grade 7-London","3.00","Other","London"
"Department for Education","Department for Education","Careers","DFE-2653","Grade 7 - National","58185","67219","Manager - Careers Grade 7-West Midlands","4.67","Other","West Midlands"
"Department for Education","Department for Education","London & South East Place Based Team","DFE-2489","Grade 7 - London","62336","72057","Manager - London & South East Place Based Team Grade 7-London","4.00","Other","London"
"Department for Education","Department for Education","Enterprise Data for Insight","DFE-2392","Grade 7 - London","62336","72057","Manager - Enterprise Data for Insight Grade 7-London","6.00","Other","London"
"Department for Education","Standard and Testing Agency","Assessment Research and Development","DFE-2535","Grade 7 - National","58185","67219","Manager - Assessment Research and Development Grade 7-West Midlands","4.00","Other","West Midlands"
"Department for Education","Standard and Testing Agency","Standards, Testing and Regulation Directorate","DFE-2135","Grade 6 - National","70854","78241","Manager - Assessment Operations and Services Grade 6-West Midlands","1.79","Other","West Midlands"
"Department for Education","Standard and Testing Agency","STA Assessment DDaT","DFE-2607","Grade 6 - National","70854","78241","Manager - STA Assessment DDaT Grade 6-West Midlands","1.00","Other","West Midlands"
"Department for Education","Teaching Regulation Agency","Teaching Regulation Agency","DFE-2215","Grade 7 - National","58185","67219","Manager - Teaching Regulation Agency Grade 7-West Midlands","4.81","Other","West Midlands"
"Department for Education","Standard and Testing Agency","Assessment Research and Development","DFE-2535","Grade 6 - London","74528","82869","Manager - Assessment Research and Development Grade 6-London","3.00","Other","London"
"Department for Education","Standard and Testing Agency","Assessment Research and Development","DFE-2535","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Assessment Research and Development SEO-West Midlands","8.60","Other","West Midlands"
